package	version	architecture	status
libdouble-conversion3	3.1.7-4	arm64	install ok installed
libdpkg-perl	1.21.1ubuntu2.6	all	install ok installed
libdrm-amdgpu1	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm-common	2.4.113-2~ubuntu0.22.04.1	all	install ok installed
libdrm-nouveau2	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm-radeon1	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdrm2	2.4.113-2~ubuntu0.22.04.1	arm64	install ok installed
libdw1	0.186-1ubuntu0.1	arm64	install ok installed
libedit2	3.1-20210910-1build1	arm64	install ok installed
libegl-dev	1.4.0-1	arm64	install ok installed
libegl-mesa0	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libegl1	1.4.0-1	arm64	install ok installed
libelf1	0.186-1ubuntu0.1	arm64	install ok installed
libepoxy0	1.5.10-1	arm64	install ok installed
liberror-perl	0.17029-1	all	install ok installed
libevdev2	1.12.1+dfsg-1	arm64	install ok installed
libewf2	20140807-2ubuntu2	arm64	install ok installed
libexpat1	2.4.7-1ubuntu0.7	arm64	install ok installed
libext2fs2	1.46.5-2ubuntu1.2	arm64	install ok installed
libfakeroot	1.28-1ubuntu1	arm64	install ok installed
libfdisk1	2.37.2-4ubuntu3.5	arm64	install ok installed
libfdt1	1.6.1-1	arm64	install ok installed
libffi8	3.4.2-4	arm64	install ok installed
libfile-fcntllock-perl	0.22-3build7	arm64	install ok installed
libflac8	1.3.3-2ubuntu0.2	arm64	install ok installed
libfontconfig1	2.13.1-4.2ubuntu5	arm64	install ok installed
libfontenc1	1:1.1.4-1build3	arm64	install ok installed
libfreetype6	2.11.1+dfsg-1ubuntu0.3	arm64	install ok installed
libfribidi0	1.0.8-2ubuntu3.1	arm64	install ok installed
libfuse2	2.9.9-5ubuntu3	arm64	install ok installed
libfuse3-3	3.10.5-1build1	arm64	install ok installed
libgail-common	2.24.33-2ubuntu2.1	arm64	install ok installed
libgail18	2.24.33-2ubuntu2.1	arm64	install ok installed
libgbm1	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libgcc-11-dev	11.4.0-1ubuntu1~22.04.3	arm64	install ok installed
libgcc-s1	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libgcrypt20	1.9.4-3ubuntu3	arm64	install ok installed
libgdbm-compat4	1.23-1	arm64	install ok installed
libgdbm6	1.23-1	arm64	install ok installed
libgdk-pixbuf-2.0-0	2.42.8+dfsg-1ubuntu0.5	arm64	install ok installed
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.5	arm64	install ok installed
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.5	all	install ok installed
libgif7	5.1.9-2ubuntu0.1	arm64	install ok installed
libgirepository-1.0-1	1.72.0-1	arm64	install ok installed
libgl-dev	1.4.0-1	arm64	install ok installed
libgl1	1.4.0-1	arm64	install ok installed
libgl1-amber-dri	21.3.9-0ubuntu1~22.04.1	arm64	install ok installed
libgl1-mesa-dri	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libglapi-mesa	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libglib2.0-0	2.72.4-0ubuntu2.9	arm64	install ok installed
libglu1-mesa	9.0.2-1	arm64	install ok installed
libglu1-mesa-dev	9.0.2-1	arm64	install ok installed
libglvnd0	1.4.0-1	arm64	install ok installed
libglx-dev	1.4.0-1	arm64	install ok installed
libglx-mesa0	23.2.1-1ubuntu3.1~22.04.3	arm64	install ok installed
libglx0	1.4.0-1	arm64	install ok installed
libgmp10	2:6.2.1+dfsg-3ubuntu1	arm64	install ok installed
libgnutls30	3.7.3-4ubuntu1.8	arm64	install ok installed
libgomp1	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libgpg-error0	1.43-3	arm64	install ok installed
libgraphite2-3	1.3.14-1build2	arm64	install ok installed
libgssapi-krb5-2	1.19.2-2ubuntu0.7	arm64	install ok installed
libgstreamer-plugins-base1.0-0	1.20.1-1ubuntu0.6	arm64	install ok installed
libgstreamer1.0-0	1.20.3-0ubuntu1.1	arm64	install ok installed
libgtk-3-0	3.24.33-1ubuntu2.2	arm64	install ok installed
libgtk-3-bin	3.24.33-1ubuntu2.2	arm64	install ok installed
libgtk-3-common	3.24.33-1ubuntu2.2	all	install ok installed
libgtk2.0-0	2.24.33-2ubuntu2.1	arm64	install ok installed
libgtk2.0-bin	2.24.33-2ubuntu2.1	arm64	install ok installed
libgtk2.0-common	2.24.33-2ubuntu2.1	all	install ok installed
libgudev-1.0-0	1:237-2build1	arm64	install ok installed
libharfbuzz0b	2.7.4-1ubuntu3.2	arm64	install ok installed
libhogweed6	3.7.3-1build2	arm64	install ok installed
libhwasan0	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libibverbs1	39.0-1	arm64	install ok installed
libice-dev	2:1.0.10-1build2	arm64	install ok installed
libice6	2:1.0.10-1build2	arm64	install ok installed
libicu70	70.1-2	arm64	install ok installed
libidn2-0	2.3.2-2build1	arm64	install ok installed
libiniparser1	4.1-4ubuntu4.2	arm64	install ok installed
libinput-bin	1.20.0-1ubuntu0.3	arm64	install ok installed
libinput10	1.20.0-1ubuntu0.3	arm64	install ok installed
libip4tc2	1.8.7-1ubuntu5.2	arm64	install ok installed
libip6tc2	1.8.7-1ubuntu5.2	arm64	install ok installed
libisl23	0.24-2build1	arm64	install ok installed
libitm1	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
libjansson4	2.13.1-1.1build3	arm64	install ok installed
libjbig0	2.1-3.1ubuntu0.22.04.1	arm64	install ok installed
libjpeg-turbo8	2.1.2-0ubuntu1	arm64	install ok installed
libjpeg8	8c-2ubuntu10	arm64	install ok installed
libjs-jquery	3.6.0+dfsg+~3.5.13-1	all	install ok installed
libjson-c5	0.15-3~ubuntu1.22.04.2	arm64	install ok installed
libjson-perl	4.04000-1	all	install ok installed
libk5crypto3	1.19.2-2ubuntu0.7	arm64	install ok installed
libkeyutils1	1.6.1-2ubuntu3	arm64	install ok installed
libklibc	2.0.10-4ubuntu0.2	arm64	install ok installed
libkmod2	29-1ubuntu1.1	arm64	install ok installed
libkrb5-3	1.19.2-2ubuntu0.7	arm64	install ok installed
libkrb5support0	1.19.2-2ubuntu0.7	arm64	install ok installed
libksba8	1.6.0-2ubuntu0.2	arm64	install ok installed
liblcms2-2	2.12~rc1-2ubuntu0.1	arm64	install ok installed
libldap-2.5-0	2.5.20+dfsg-0ubuntu0.22.04.1	arm64	install ok installed
liblhasa0	0.3.1-4	arm64	install ok installed
liblinear4	2.3.0+dfsg-5	arm64	install ok installed
libllvm14	1:14.0.0-1ubuntu1.1	arm64	install ok installed
libllvm15	1:15.0.7-0ubuntu0.22.04.3	arm64	install ok installed
liblocale-gettext-perl	1.07-4build3	arm64	install ok installed
liblsan0	12.3.0-1ubuntu1~22.04.3	arm64	install ok installed
liblua5.3-0	5.3.6-1build1	arm64	install ok installed
liblz4-1	1.9.3-2build2	arm64	install ok installed
liblzma-dev	5.2.5-2ubuntu1.1	arm64	install ok installed
liblzma5	5.2.5-2ubuntu1.1	arm64	install ok installed
liblzo2-2	2.10-2build3	arm64	install ok installed
liblzo2-dev	2.10-2build3	arm64	install ok installed
libmagic-mgc	1:5.41-3ubuntu0.1	arm64	install ok installed
libmagic1	1:5.41-3ubuntu0.1	arm64	install ok installed
libmd0	1.0.4-1build1	arm64	install ok installed
libmd4c0	0.4.8-1	arm64	install ok installed
libmnl0	1.0.4-3build2	arm64	install ok installed
libmount1	2.37.2-4ubuntu3.5	arm64	install ok installed
libmpc3	1.2.1-2build1	arm64	install ok installed
libmpdec3	2.5.1-2build2	arm64	install ok installed
libmpfr6	4.1.0-3build3	arm64	install ok installed
libmspack0	0.10.1-2build2	arm64	install ok installed
libmtdev1	1.1.6-1build4	arm64	install ok installed
libncurses6	6.3-2ubuntu0.1	arm64	install ok installed
libncursesw6	6.3-2ubuntu0.1	arm64	install ok installed
libndctl6	72.1-1	arm64	install ok installed
libnet1	1.1.6+dfsg-3.1build3	arm64	install ok installed
libnetfilter-conntrack3	1.0.9-1	arm64	install ok installed
libnettle8	3.7.3-1build2	arm64	install ok installed
libnfnetlink0	1.0.1-3build3	arm64	install ok installed
libnftables1	1.0.2-1ubuntu3.1	arm64	install ok installed
libnftnl11	1.2.1-1build1	arm64	install ok installed
libnghttp2-14	1.43.0-1ubuntu0.3	arm64	install ok installed
libnl-3-200	3.5.0-0.1	arm64	install ok installed
libnl-route-3-200	3.5.0-0.1	arm64	install ok installed
libnpth0	1.6-3build2	arm64	install ok installed
libnsl-dev	1.3.0-2build2	arm64	install ok installed
libnsl2	1.3.0-2build2	arm64	install ok installed
libnspr4	2:4.35-0ubuntu0.22.04.1	arm64	install ok installed
libnss-systemd	249.11-0ubuntu3.21	arm64	install ok installed
libnss3	2:3.98-0ubuntu0.22.04.3	arm64	install ok installed
libnuma1	2.0.14-3ubuntu2	arm64	install ok installed
libogg0	1.3.5-0ubuntu3	arm64	install ok installed
libopengl0	1.4.0-1	arm64	install ok installed
libopus0	1.3.1-0.1build2	arm64	install ok installed
liborc-0.4-0	1:0.4.32-2ubuntu0.1	arm64	install ok installed
libp11-kit0	0.24.0-6build1	arm64	install ok installed
libpam-modules	1.4.0-11ubuntu2.6	arm64	install ok installed
libpam-modules-bin	1.4.0-11ubuntu2.6	arm64	install ok installed
libpam-runtime	1.4.0-11ubuntu2.6	all	install ok installed
libpam-systemd	249.11-0ubuntu3.21	arm64	install ok installed
libpam0g	1.4.0-11ubuntu2.6	arm64	install ok installed
libpango-1.0-0	1.50.6+ds-2ubuntu1	arm64	install ok installed
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1	arm64	install ok installed
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1	arm64	install ok installed
libpcap0.8	1.10.1-4ubuntu1.22.04.1	arm64	install ok installed
libpci3	1:3.7.0-6	arm64	install ok installed
libpcre2-16-0	10.39-3ubuntu0.1	arm64	install ok installed
libpcre2-8-0	10.39-3ubuntu0.1	arm64	install ok installed
libpcre3	2:8.39-13ubuntu0.22.04.1	arm64	install ok installed
libpcsclite1	1.9.5-3ubuntu1	arm64	install ok installed
libperl5.34	5.34.0-3ubuntu1.5	arm64	install ok installed
libpixman-1-0	0.40.0-1ubuntu0.22.04.1	arm64	install ok installed
libpmem1	1.11.1-3build1	arm64	install ok installed
libpng16-16	1.6.37-3ubuntu0.5	arm64	install ok installed
libpq-dev	14.23-0ubuntu0.22.04.1	arm64	install ok installed
libpq5	14.23-0ubuntu0.22.04.1	arm64	install ok installed
libprocps8	2:3.3.17-6ubuntu2.1	arm64	install ok installed
libpsl5	0.21.0-1.2build2	arm64	install ok installed
libpthread-stubs0-dev	0.4-1build2	arm64	install ok installed
libpulse0	1:15.99.1+dfsg1-1ubuntu2.2	arm64	install ok installed
libpython3-stdlib	3.10.6-1~22.04.1	arm64	install ok installed
libpython3.10-minimal	3.10.12-1~22.04.15	arm64	install ok installed
libpython3.10-stdlib	3.10.12-1~22.04.15	arm64	install ok installed
libqt5concurrent5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5core5a	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5dbus5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5gui5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5network5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5opengl5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5opengl5-dev	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5printsupport5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5sql5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5sql5-sqlite	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5svg5	5.15.3-1	arm64	install ok installed
libqt5test5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5widgets5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
libqt5xml5	5.15.3+dfsg-2ubuntu0.2	arm64	install ok installed
librdmacm1	39.0-1	arm64	install ok installed
libreadline8	8.1.2-1	arm64	install ok installed
librsvg2-2	2.52.5+dfsg-3ubuntu0.2	arm64	install ok installed
librsvg2-common	2.52.5+dfsg-3ubuntu0.2	arm64	install ok installed
librtmp1	2.4+20151223.gitfa8646d.1-2build4	arm64	install ok installed
libruby3.0	3.0.2-7ubuntu2.12	arm64	install ok installed
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2	arm64	install ok installed
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2	arm64	install ok installed
libseccomp2	2.5.3-2ubuntu3~22.04.1	arm64	install ok installed
libselinux1	3.3-1build2	arm64	install ok installed
libsemanage-common	3.3-1build2	all	install ok installed
